Артикул;   Наименование;Единица измерения;Количество;Основной поставщик;Изображение;Тип материала;Закупочная цена;ГОСТ;Длина;Характеристика
д99; Доска обрезная ; шт; 22 ;;;доска; 6390;;;
д100; Доска обрезная ; шт; 16 ;;;доска; 6390;;;
д101; Брус ; шт; 33 ;;;доска; 6390;;;
д102; Брус ; шт; 16 ;;;доска; 6390;;;
д103; Брус; шт; 11 ;;;доска; 6390;;;
д104; Брус ; шт; 7 ;;;доска; 6390;;;
д105; Брус ; шт; 4 ;;;доска; 6390;;;
д106;Доска не обрезная ; шт;12;;;доска; 4500;;;
д107; Доска не обрезная ; шт; 7 ;;;доска; 4500;;;
д108; Доска не обрезная ; шт; 27 ;;;доска; 4500;;;
д109;Доска не обрезная ; шт; 44 ;;;доска; 4500;;;
д110;Доска обрезная ; шт; 66 ;;;доска; 6000;;;
д111; Доска обрезная ; шт; 44 ;;;доска; 6000;;;
д112; Доска обрезная ; шт; 37 ;;;доска; 6000;;;
д113; Доска обрезная ; шт; 27 ;;;доска; 6000;;;
д114; Доска обрезная; шт; 22 ;;;доска; 6000;;;
д115; Доска обрезная ; шт; 16 ;;;доска; 6000;;;
б116; Брус ; шт; 33 ;;;брус; 6000;;;
б117; Брус ; шт; 16 ;;;брус; 6000;;;
б118; Брус ; шт; 11 ;;;брус; 6000;;;
б119; Брус ; шт; 7 ;;;брус; 6000;;;
б120;Брус ; шт; 4 ;;;брус; 6000;;;
д121;Доска не обрезная ; шт; 22 ;;;доска; 4500;;;
д122; Доска не обрезная ; шт; 16 ;;;доска; 4500;;;
д123; Доска не обрезная ; шт; 66 ;;;доска; 4500;;;
д124; Доска не обрезная ; шт; 11 ;;;доска; 4500;;;
Р125;; шт;;;;Рейки; 110;;;
Р126;; шт;;;;Рейки; 135;;;
Р127;; шт;;;;Рейки; 160;;;
Р128;;шт;;;;Рейки;190;;;
Р129;;шт;;;;Рейки;175;;;
Р130;;шт;;;;Рейки;260;;;
Р131;; шт;;;;Рейки; 215;;;
Р132;; шт;;;;Рейки; 270;;;
Р133;; шт;;;;Рейки; 320;;;
Р134;; шт;;;;Рейки; 435;;;
Р135;; шт;;;;Рейки; 435;;;
Р136;; шт;;;;Рейки; 640;;;
Р137;;шт;;;;Рейки; 870;;;
Р138;; шт;;;;Рейки; 960;;;
Р139;; шт;;;;Рейки; 1305;;;
Р140;; шт;;;;Рейки; 1750;;;
Р141;; шт;;;;Рейки; 1480;;;
Р142;; шт;;;;Рейки; 1750;;;
Р143;; шт;;;;Рейки; 25;;;
Р144;; шт;;;;Рейки; 3760;;;
Р145;; шт;;;;Рейки; 29;;;
Р146;; шт;;;;Рейки; 43 ;;;
Р147;; шт;;;;Рейки; 35;;;
Р148;; шт;;;;Рейки; 5230;;;
Р149;; шт;;;;Рейки; 42;;;
Р150;; шт;;;;Рейки; 58;;;
Р151;; шт;;;;Рейки; 88;;;
Р152;; шт;;;;Рейки; 35;;;
Р153;; шт;;;;Рейки; 5230;;;
Р154;; шт;;;;Рейки; 75;;;
Р155;; шт;;;;Рейки; 112;;;
д156;Доска обрезная;м3;;;;доска;3500;;;
д157;Доска обрезная;м3;;;;доска;3500;;;
д158;Доска обрезная;м3;;;;доска;7700;;;
д159;Доска обрезная;м3;;;;доска;7700;;;
д160;Доска обрезная;м3;;;;доска;7800;;;
д161;Доска обрезная;м3;;;;доска;7600;;;
д162;Доска обрезная;м3;;;;доска;7000;;;
д163;Доска обрезная;м3;;;;доска;7600;;;
д164;Доска обрезная;м3;;;;доска;7500;;;
д165;Доска обрезная;м3;;;;доска;6800;;;
д166;Доска обрезная;м3;;;;доска;7800;;;
д167;Доска обрезная;м3;;;;доска;7100;;;
д168;Доска;м3;;;;доска;6800;;;
б169;Брус;м3 ;;;;брус;7500;;;
б170;Брус;м3;;;;брус;7800;;;
б171;Брус;м3;;;;брус;7500;;;
б172;Брус;м3;;;;брус;7600;;;
б173;Брус;м3;;;;брус;7400;;;
б174;Брус;м3;;;;брус;7500;;;
б175;Брус;м3;;;;брус;7800;;;
б176;Брус;м3;;;;брус;7700;;;
б177;Брус;м3;;;;брус;6800;;;
б178;Брус;м3;;;;брус;7100;;;
б179;Брус;м3;;;;брус;7200;;;
З180;Диамант золотой (Польша);м2;;;;Зеркало;;;;
З181;Дельта розовая (Сузорье) (Беларусь);м2;;;;Зеркало;;;;
З182;Кризет б/ц (Беларусь);м2;;;;Зеркало;;;;
З183;Кризет бронза (Беларусь);м2;;;;Зеркало;;;;
З184;Дельта б/ц на скрине (Беларусь);м2;;;;Зеркало;;;;
З185;Дельта бронза на скрине (Беларусь);м2;;;;Зеркало;;;;
З186;Скрин (Польша);м2;;;;Зеркало;;;;
З187;Паутинка б/ц (Польша);м2;;;;Стекло;;;;
З188;Паутинка золотая (Польша);м2;;;;Стекло;;;;
З189;Дельта золотая (Польша);м2;;;;Зеркало;;;;
З190;Атлантик золотой (Польша);м2;;;;Зеркало;;;;
З191;Водопад бронза (Беларусь);м2;;;;Зеркало;;;;
З192;Глория бронза (Польша);м2;;;;Зеркало;;;;
З193;Моран бронза (Китай);м2;;;;Зеркало;;;;
З194;Гранит б/ц (Турция);м2;;;;Зеркало;;;;
З221;Лакобель ( черный) (Польша);м2;;;;Зеркало;;;;
З195;Гранит бронза (Турция);м2;;;;Зеркало;;;;
З196;Лабиринт б/ц (Турция);м2;;;;Зеркало;;;;
З197;Лабиринт бронза (Турция);м2;;;;Зеркало;;;;
З198;Дали б/ц (Турция);м2;;;;Зеркало;;;;
З199;Дали бронза (Турция);м2;;;;Зеркало;;;;
З200;Океан б/ц (Турция);м2;;;;Зеркало;;;;
З201;Океан бронза (Турция);м2;;;;Зеркало;;;;
З202;Букет б/ц (Турция);м2;;;;Зеркало;;;;
З203;Букет бронза (Турция);м2;;;;Зеркало;;;;
З204;Дельта б/ц (Турция);м2;;;;Зеркало;;;;
З205;Дельта бронза (Турция);м2;;;;Зеркало;;;;
З206;Туркуаз б/ц (Турция);м2;;;;Зеркало;;;;
З207;Туркуаз бронза (Турция);м2;;;;Зеркало;;;;
З208;Павэ б/ц (Турция);м2;;;;Зеркало;;;;
З188;Паутинка золотая (Польша);м2;;;;Зеркало;;;;
З209;Павэ бронза (Турция);м2;;;;Зеркало;;;;
З210;Сатинат б/ц (Россия);м2;;;;Зеркало;;;;
З211;Тонированное в массе;м2;;;;Зеркало;;;;
З212;Зеркало Диагональный Лабиринт (серебро) (Китай);м2;;;;Зеркало;;;;
З213;Зеркало Диагональный Лабиринт (бронза) (Китай);м2;;;;Зеркало;;;;
З214;Зеркало серебряная звезда (черное) (Китай);м2;;;;Зеркало;;;;
З215;Колотый лед (Сакура ) б\цв (Китай);м2;;;;Зеркало;;;;
З216;Колотый лед (Сакура ) бронза (Китай);м2;;;;Зеркало;;;;
З217;Флутс (Китай);м2;;;;Зеркало;;;;
З218;Диагональный Лабиринт б/цв (Китай);м2;;;;Зеркало;;;;
З219;Лакобель (темно коричневый);м2;;;;Зеркало;;;;
З220;Лакобель (белый ) (Польша);м2;;;;Зеркало;;;;
З221;Лакобель ( черный) (Польша);м2;;;;Зеркало;;;;
З222;Лакобель (бежевый) (Польша);м2;;;;Зеркало;;;;
З223;Новый лист б/цв (Турция);м2;;;;Зеркало;;;;
З224;Новый лист бронза (Турция);м2;;;;Зеркало;;;;
З225;Новый лист черное (Турция);м2;;;;Зеркало;;;;
З226;Магнолия б/цв (Турция);м2;;;;Зеркало;;;;
З227;Магнолия бронза (Турция);м2;;;;Зеркало;;;;
З228;Магнолия черное (Турция);м2;;;;Зеркало;;;;
З229;Иви б/цв (Турция);м2;;;;Зеркало;;;;
З230;Иви бронза (Турция);м2;;;;Зеркало;;;;
З231;Иви черное (Турция);м2;;;;Зеркало;;;;
З232;Розы б/цв (Турция);м2;;;;Зеркало;;;;
З233;Розы бронза (Турция);м2;;;;Зеркало;;;;
З234;Зеркало Колотый лед (серебро)(сакура) (Китай);м2;;;;Зеркало;;;;
З235;Зеркало Колотый лед (бронза) (Китай);м2;;;;Зеркало;;;;
З236;Зеркало Новый ледяной узор (бронза) (Китай);м2;;;;Зеркало;;;;
З237;Зеркало Осенний шепот (серебро) (Китай);м2;;;;Зеркало;;;;
З238;Зеркало Осенний шепот (бронза) (Китай);м2;;;;Зеркало;;;;
С239;Стекло оконное ;м2;;;;Стекло;;;;
С243;Стекло оконное ;м2;;;;Стекло;;;;
С240;Стекло оконное ;м2;;;;Стекло;;;;
С241;Стекло оконное;м2;;;;Стекло;;;;
С242;Стекло оконное;м2;;;;Стекло;;;;
С243;Стекло оконное ;м2;;;;Стекло;;;;
з244;Зеркало серебро ;м2;;;;зеркало;;;;
з245;Зеркало серебро ;м2;;;;зеркало;;;;
з246;Зеркало бронза ;м2;;;;зеркало;;;;
лнц2;;кг;187;;;лак;;ГОСТ: 4976–86;;
лнц4;;шт;44;;;лак;;ГОСТ: 4976–86;;
